"ppt","subjectGroup","condition1","stim1","key","response","RT","stimFormat","trialNo","family","usvalence","warn","RWA_1","RWA_2","RWA_3","RWA_4","RWA_5","RWA_6","RWA_7","RWA_8","RWA_9","RWA_10","RWA_11","RWA_12","RWA_13","RWA_14","RWA_15","RWA14R","RWA12R","RWA8R","RWA10R","RWA6R","RWA4R","RWA2R","RWAscore"
"ABFSENNGIJYT",6,"ratings1","M1","na",5,3925,".jpg",9,"M",0.5,0.5,7,7,1,5,1,7,1,7,7,5,7,7,7,1,7,7,1,1,3,1,3,1,0.162095788152901
"ABFSENNGIJYT",6,"ratings1","M8","na",5,804,".jpg",16,"M",0.5,0.5,7,7,1,5,1,7,1,7,7,5,7,7,7,1,7,7,1,1,3,1,3,1,0.162095788152901
"ABFSENNGIJYT",6,"ratings1","B6","na",5,601,".jpg",6,"B",-0.5,0.5,7,7,1,5,1,7,1,7,7,5,7,7,7,1,7,7,1,1,3,1,3,1,0.162095788152901
"ABFSENNGIJYT",6,"ratings1","M2","na",5,701,".jpg",10,"M",0.5,0.5,7,7,1,5,1,7,1,7,7,5,7,7,7,1,7,7,1,1,3,1,3,1,0.162095788152901
"ABFSENNGIJYT",6,"ratings1","B2","na",5,701,".jpg",2,"B",-0.5,0.5,7,7,1,5,1,7,1,7,7,5,7,7,7,1,7,7,1,1,3,1,3,1,0.162095788152901
"ABFSENNGIJYT",6,"ratings1","B4","na",5,804,".jpg",4,"B",-0.5,0.5,7,7,1,5,1,7,1,7,7,5,7,7,7,1,7,7,1,1,3,1,3,1,0.162095788152901
"ABFSENNGIJYT",6,"ratings1","M7","na",5,804,".jpg",15,"M",0.5,0.5,7,7,1,5,1,7,1,7,7,5,7,7,7,1,7,7,1,1,3,1,3,1,0.162095788152901
"ABFSENNGIJYT",6,"ratings1","B7","na",5,701,".jpg",7,"B",-0.5,0.5,7,7,1,5,1,7,1,7,7,5,7,7,7,1,7,7,1,1,3,1,3,1,0.162095788152901
"ABFSENNGIJYT",6,"ratings1","B3","na",5,804,".jpg",3,"B",-0.5,0.5,7,7,1,5,1,7,1,7,7,5,7,7,7,1,7,7,1,1,3,1,3,1,0.162095788152901
"ABFSENNGIJYT",6,"ratings1","M3","na",9,2116,".jpg",11,"M",0.5,0.5,7,7,1,5,1,7,1,7,7,5,7,7,7,1,7,7,1,1,3,1,3,1,0.162095788152901
"ABFSENNGIJYT",6,"ratings1","B8","na",5,805,".jpg",8,"B",-0.5,0.5,7,7,1,5,1,7,1,7,7,5,7,7,7,1,7,7,1,1,3,1,3,1,0.162095788152901
"ABFSENNGIJYT",6,"ratings1","M5","na",9,2819,".jpg",13,"M",0.5,0.5,7,7,1,5,1,7,1,7,7,5,7,7,7,1,7,7,1,1,3,1,3,1,0.162095788152901
"ABFSENNGIJYT",6,"ratings1","B5","na",1,1510,".jpg",5,"B",-0.5,0.5,7,7,1,5,1,7,1,7,7,5,7,7,7,1,7,7,1,1,3,1,3,1,0.162095788152901
"ABFSENNGIJYT",6,"ratings1","M6","na",5,1814,".jpg",14,"M",0.5,0.5,7,7,1,5,1,7,1,7,7,5,7,7,7,1,7,7,1,1,3,1,3,1,0.162095788152901
"ABFSENNGIJYT",6,"ratings1","B1","na",5,1510,".jpg",1,"B",-0.5,0.5,7,7,1,5,1,7,1,7,7,5,7,7,7,1,7,7,1,1,3,1,3,1,0.162095788152901
"ABFSENNGIJYT",6,"ratings1","M4","na",9,2869,".jpg",12,"M",0.5,0.5,7,7,1,5,1,7,1,7,7,5,7,7,7,1,7,7,1,1,3,1,3,1,0.162095788152901
"ADJQKWVAEFBT",1,"ratings1","M6","na",6,15208,".jpg",14,"M",-0.5,0.5,7,7,7,6,5,5,7,7,6,5,4,7,5,7,6,1,1,1,3,3,2,1,0.37149579463836
